Month,Day Ahead Auction (volume weighted)
,"Price (EUR/MWh, EUR/tCO2)"
01.2006,65.2669
02.2006,68.5171
03.2006,62.4558
04.2006,43.2432
05.2006,33.8149
06.2006,39.5241
07.2006,74.2634
08.2006,44.7185
09.2006,46.0276
10.2006,43.5987
11.2006,51.9165
12.2006,40.3369
01.2007,32.3761
02.2007,32.0672
03.2007,26.2102
04.2007,31.4121
05.2007,33.4932
06.2007,36.4331
07.2007,29.7968
08.2007,29.8034
09.2007,34.9818
10.2007,58.6081
11.2007,67.4763
12.2007,54.8985
01.2008,56.8112
02.2008,60.2955
03.2008,54.071
04.2008,68.4795
05.2008,57.059
06.2008,74.3987
07.2008,70.9125
08.2008,63.1726
09.2008,88.6055
10.2008,87.8261
11.2008,66.1906
12.2008,56.3708
01.2009,58.0271
02.2009,48.568
03.2009,37.7979
04.2009,33.6643
05.2009,32.1276
06.2009,34.1063
07.2009,36.4948
08.2009,37.1354
09.2009,40.5161
10.2009,45.2466
11.2009,36.8158
12.2009,36.6125
01.2010,42.5989
02.2010,42.2856
03.2010,39.7499
04.2010,40.9292
05.2010,42.453
06.2010,44.9441
07.2010,47.3432
08.2010,40.8496
09.2010,46.746
10.2010,50.9231
11.2010,48.9136
12.2010,56.1525
01.2011,50.6026
02.2011,50.9541
03.2011,55.004
04.2011,52.3361
05.2011,57.5401
06.2011,52.9272
07.2011,47.0461
08.2011,49.4452
09.2011,53.592
10.2011,52.3284
11.2011,55.7181
12.2011,43.2832
01.2012,39.2856
02.2012,53.9135
03.2012,41.203
04.2012,43.8154
05.2012,39.3602
06.2012,39.5164
07.2012,41.9251
08.2012,45.183
09.2012,45.0267
10.2012,44.5536
11.2012,45.3579
12.2012,34.2675
01.2013,43.2343
02.2013,44.9448
03.2013,38.9777
04.2013,38.1813
05.2013,32.4737
06.2013,28.2753
07.2013,36.925
08.2013,38.687
09.2013,41.9576
10.2013,37.5453
11.2013,39.3306
12.2013,35.4385
01.2014,35.8628
02.2014,33.5692
03.2014,30.3044
04.2014,31.2871
05.2014,30.3819
06.2014,31.7921
07.2014,32.1831
08.2014,27.3855
09.2014,35.069
10.2014,35.1694
11.2014,36.2234
12.2014,31.5654
01.2015,30.4571
02.2015,36.6607
03.2015,30.673
04.2015,29.0378
05.2015,25.3244
06.2015,30.1588
07.2015,34.5267
08.2015,31.5364
09.2015,31.4736
10.2015,39.7639
11.2015,31.707
12.2015,27.2336
01.2016,28.77
02.2016,21.5321
03.2016,23.8562
04.2016,24.0657
05.2016,21.4638
06.2016,27.795
07.2016,26.8018
08.2016,26.9165
09.2016,30.351
10.2016,36.869
11.2016,37.358
12.2016,34.9474
01.2017,50.5257
02.2017,38.4434
03.2017,31.3952
04.2017,27.4093
05.2017,29.6896
06.2017,29.3091
07.2017,32.6314
08.2017,30.2185
09.2017,33.9951
10.2017,26.2289
11.2017,39.1904
12.2017,28.4628
01.2018,27.8973
02.2018,39.7282
03.2018,36.1645
04.2018,31.3544
05.2018,32.607
06.2018,42.0947
07.2018,49.2398
08.2018,55.894
09.2018,53.8475
10.2018,52.0923
11.2018,56.6157
12.2018,46.1272
01.2019,47.0775
02.2019,41.8702
03.2019,28.4307
04.2019,35.2086
05.2019,37.3844
06.2019,31.8373
07.2019,39.726
08.2019,36.271
09.2019,34.9974
10.2019,36.582
11.2019,40.9268
12.2019,30.9096
01.2020,35.3661
02.2020,21.5708
03.2020,21.7232
04.2020,15.9353
05.2020,17.2082
06.2020,26.1468
07.2020,29.3557
08.2020,34.5799
09.2020,43.6161
10.2020,33.568
11.2020,38.5392
12.2020,42.6663
01.2021,53.05
02.2021,48.9773
03.2021,45.7002
04.2021,51.5853
05.2021,50.7212
06.2021,72.1078
07.2021,79.822
08.2021,81.5103
09.2021,127.282
10.2021,137.2345
11.2021,177.4128
12.2021,216.8528
01.2022,165.4224
02.2022,122.93
03.2022,244.6526
04.2022,159.4684
05.2022,171.6777
06.2022,217.4232
07.2022,304.438
08.2022,455.3785
09.2022,346.2861
10.2022,151.8685
11.2022,174.4293
12.2022,244.0343
01.2023,115.8727
02.2023,127.9246
03.2023,100.3221
04.2023,99.0119
05.2023,77.4054
06.2023,91.2886
07.2023,73.8769
08.2023,92.404
09.2023,99.4843
10.2023,86.3512
11.2023,91.4021
12.2023,67.9947
01.2024,79.227